诗人	被引用人	次数
裴皎然	韋應物	3
裴皎然	李逢吉	3
裴皎然	秦系	3
李清江	釋可止	3
張九齡	趙冬曦	2
張九齡	魚玄機	2
張九齡	盧眉娘	2
韓愈	柳宗元	2
韓愈	沈傳師	2
韓愈	崔邠	2
韓愈	劉禹錫	2
韓愈	王無競	2
韓愈	李觀	2
韓愈	賈島	2
韓愈	裴皞	2
韓愈	盧眉娘	2
韓愈	崔立之	2
柳宗元	高崇文	2
柳宗元	崔備	2
皮日休	杜甫	2
杜甫	杜甫	2
杜甫	劉晏	2
杜甫	李淵（唐高祖）	2
杜甫	沈傳師	2
杜甫	韋嗣立	2
杜甫	陳子昂	2
杜甫	薛稷	2
杜甫	李邕	2
杜甫	賈至	2
杜甫	崔氏(李孟犨妻)	2
杜甫	王衍	2
杜甫	王涯	2
杜甫	韋渠牟	2
杜甫	嚴武	2
杜甫	蘇渙	2
杜甫	杜光庭	2
杜甫	李紳	2
杜甫	李適	2
杜甫	李虞仲	2
杜甫	張衆甫	2
杜甫	陳希烈	2
杜甫	鄭谷	2
杜甫	孟浩然	2
杜甫	韓湘	2
杜甫	鮑防	2
杜甫	竇常	2
杜甫	孟氏(孟弘義女)	2
杜甫	裴迪	2
黃滔	韋渠牟	2
蘇頲	韋嗣立	2
蘇頲	張說	2
蘇頲	李白	2
裴耀卿	張九齡	2
李世民（唐太宗）	魏徵	2
李世民（唐太宗）	高崇文	2
張籍	孟郊	2
張籍	姚合	2
權德輿	李世民（唐太宗）	2
權德輿	張昭	2
權德輿	李逢吉	2
權德輿	李渤	2
權德輿	李虞仲	2
權德輿	釋靈澈	2
權德輿	釋常達	2
權德輿	裴皞	2
權德輿	李虛中	2
李德裕	盧眉娘	2
李德裕	李澣	2
賀知章	張說	2
賀知章	李邕	2
李隆基（唐玄宗）	司馬承禎	2
杜牧	李邕	2
杜牧	趙冬曦	2
杜牧	李白	2
杜牧	楊嗣復	2
李商隱	元結	2
李商隱	王仲舒	2
李商隱	李渤	2
李商隱	釋明解	2
李商隱	鄭畋	2
李商隱	顧雲	2
李商隱	竇常	2
武元衡	楊嗣復	2
徐堅	張說	2
駱賓王	駱賓王	2
駱賓王	竇常	2
陳子昂	喬知之	2
陳子昂	李虞仲	2
陳子昂	韓湘	2
陳子昂	鮑防	2
張說	韋嗣立	2
張說	宋璟	2
張說	李邕	2
張說	崔邠	2
張說	王晙	2
張說	韋丹	2
張說	李渤	2
張說	鄭絪	2
張說	唐扶	2
席豫	張說	2
宋之問	張籍	2
宋之問	杜審言	2
宋之問	竇常	2
李嶠	李顯（唐中宗）	2
李嶠	韋嗣立	2
李嶠	韋應物	2
李嶠	李令崇	2
源乾曜	張說	2
崔湜	韋嗣立	2
崔湜	李虞仲	2
王維	崔滌	2
王維	王縉	2
王維	王昌齡	2
王維	孟浩然	2
王維	顧雲	2
王維	錢起	2
沈佺期	韋嗣立	2
沈佺期	王泠然	2
沈佺期	高力士	2
白居易	皮日休	2
白居易	杜甫	2
白居易	賀知章	2
白居易	李隆基（唐玄宗）	2
白居易	楊炎	2
白居易	楊漢公	2
白居易	姚崇	2
白居易	楊玉環	2
白居易	王維	2
白居易	韋表微	2
白居易	韋夏卿	2
白居易	李嘉祐	2
白居易	楊巨源	2
白居易	沈彬	2
白居易	釋知玄	2
白居易	鄭良士	2
白居易	孟浩然	2
白居易	釋常達	2
白居易	舒元輿	2
白居易	路應	2
白居易	竇鞏	2
白居易	竇常	2
白居易	鄭韜光	2
元稹	姚崇	2
元稹	楊玉環	2
元稹	劉長卿	2
元稹	王建立	2
元稹	司馬承禎	2
元稹	杜元穎	2
元稹	李景讓	2
元稹	韓湘	2
元稹	薛濤	2
元稹	段氏(段龍女)	2
元稹	李令崇	2
元稹	劉猛	2
元稹	吳士矩	2
徐氏(歐陽琟妻)	楊巨源	2
李白	賀知章	2
李白	李顯（唐中宗）	2
李白	王勃	2
李白	張易之	2
李白	崔氏(李孟犨妻)	2
李白	劉禹錫	2
李白	韋表微	2
李白	楊嗣復	2
李白	張祜	2
李白	陳希烈	2
李白	唐扶	2
李白	崔成甫	2
李白	崔宗之	2
李白	薛戎	2
李白	李澣	2
岑參	王昌齡	2
岑參	李嘉祐	2
岑參	盧眉娘	2
杜審言	崔融	2
杜審言	韋應物	2
賈至	李白	2
賈至	李渤	2
韋應物	盧藏用	2
韋應物	李懷遠	2
韋應物	李泌	2
韋應物	李渤	2
韋應物	楊凌	2
韋應物	秦系	2
令狐楚	白居易	2
令狐楚	劉禹錫	2
令狐楚	李逢吉	2
令狐楚	竇常	2
鄭澣	李德裕	2
鄭澣	李賢	2
李益	韓翃	2
劉長卿	柳宗元	2
劉長卿	皮日休	2
劉長卿	楊於陵	2
劉長卿	李商隱	2
劉長卿	柳渾	2
劉長卿	裴休	2
劉長卿	李幼卿	2
劉長卿	張謂	2
劉長卿	郎士元	2
劉長卿	張起	2
劉長卿	李端友	2
劉長卿	李微	2
劉禹錫	李世民（唐太宗）	2
劉禹錫	楊炎	2
劉禹錫	楊汝士	2
